section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,40,hormon,hormone
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,41,implementasi,implementation
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,42,kalori,calories
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,43,karbohidrat,carbohydrate
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,44,kecelakaan,accident
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,45,kelompok,group
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,46,kerukunan,harmony
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,47,kerusakan,damage
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,48,kesalahan,"error, mistake"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,49,komplikasi,complication
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,50,kredit,credit
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,51,luang,spare (i.e.: spare time)
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,52,"makin, semakin","more and more, increasingly"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,53,manis,sweet
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,54,membentuk,"to form, to shape"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,55,mendadak,sudden; suddenly
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,56,menderita,to suffer from an illness/disease
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,57,mendisiplinkan,to discipline
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,58,mengelola,"to manage, to administer"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,59,mengontrol,to control
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,60,menimbulkan,"to cause to emerge, to give rise to"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,61,meninggi,"rise, escalate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,62,menjaga,to take care; to maintain
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,63,menyalahkan,to blame someone
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,64,muncul,"to appear, to emerge, to show up"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,65,padat,solid; dense
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,66,pencemaran,"pollution, contamination"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,67,pendengar,listener
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,68,penderita,a person suffering from an illness/disease
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,69,pengendalian,the act/process of controlling
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,70,peningkatan,increase; improvement
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,71,penurunan,"decrease, reduction; the act/process of lowering/decreasing"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,72,"Perda, peraturan daerah",regional regulations
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,73,peringatan,warning; commemoration
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,74,pola,pattern
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,75,pribadi,personal
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,76,protokol,protocol
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,77,pusing,"dizzy, headache"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,78,sambutan,"welcome, greeting"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,79,sayur-sayuran,vegetables (several varieties)
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,80,sebaik,as good as
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,81,sebenarnya,"in fact, actually"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,82,sejauh,so far; as far as
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,83,sepi,quiet
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,84,sepucuk surat,a piece of letter
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,85,sesungguhnya,"strictly speaking, frankly"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,86,"soal, masalah, hal","matter, problem"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,87,sulit,difficult
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,88,suntikan,injection
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,89,terpakai,"is used, is used up, is usable, is unintentionally used"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,90,teror,terror
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,91,tipe,type
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,92,udara,air
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,93,"yakni, yaitu","that is, namely"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,1,aktif,active
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,2,anggota,member
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,3,awalnya,"initially, at the beginning"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,4,bekal,the provisions necessary
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,5,berdagang,"to trade, to earn a living, buying & selling, to deal in such-&-such a commodity"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,6,bersaksi,to testify
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,7,berpotensi,to have the potential
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,8,dibatasi,"to be restricted, to be limited"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,9,didasari,to be based
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,10,didukung,to be supported
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,11,dikonsumsi,to be consumed
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,12,dilaporkan,to be reported
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,13,dimaksud,"to be meant, to be referred"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,14,disabilitas,disability
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,15,evakuasi,evacuation
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,16,fasilitas,facility
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,17,fasilitator,facilitator
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,18,hampir,almost
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,19,ikut,"to come along, to join along, to participate in"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,20,julukan,nickname
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,21,kandungan,content; womb
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,22,kebudayaan,"culture, civilization"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,23,kecanduan,addiction; addicted
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,24,kementerian,ministry (a government department headed by a minister)
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,25,kesaksian,testimony
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,26,keterpanggilan,calling (a strong urge towards a particular way of life or career)
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,27,kini,"now, nowadays"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,28,kontribusi,contribution
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,29,makanan cepat saji,fast food
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,30,memadai,"adequate, sufficient"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,31,mematikan,"to turn off, to switch off; deadly"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,32,membahayakan,to endanger
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,33,membangun,to build
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,34,membatasi,"to limit, to restrict"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,35,memperdagangkan,to trade something
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,36,memunculkan,"to bring forth, to make appear"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,37,menaikkan,to increase; to lift up
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,38,mencoba,to try
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,39,mendirikan,"to establish, to set up"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,40,mengamati,to observe or inspect carefully
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,41,mengemukakan,"to put forward, to express, to say or communicate what one thinks or means"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,42,menolong,to help
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,43,menyaksikan,to witness something
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,44,menyalurkan,to channel (to distribute)
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,45,menyebabkan,"to cause, to bring about"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,46,menyerah,"to give up, to surrender"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,47,"meskipun, walaupun","although, even though"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,48,metabolisme,metabolism
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,49,narkoba,narcotics and illegal drugs
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,50,obesitas,obesity
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,51,onkologi,oncology
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,52,"pecandu, pencandu",an addict
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,53,pedagang,"trader, merchant"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,54,pegawai,employee
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,55,pelatihan,"training, coaching"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,56,pengadilan,court; trial
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,57,pengamat,observer
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,58,pengamatan,"observation, the act/process of observing"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,59,penunjang,"support, something or someone that sustains"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,60,penyakit,"disease, illness, sickness"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,61,penyandang disabilitas,person with disabilities
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,62,perdagangan,trading
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,63,praktis,"practical, convenient"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,64,psikososial,psychosocial
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,65,rasa,"taste, flavour"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,66,relawan,volunteer
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,67,rentan,"susceptible, vulnerable"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,68,saksi,witness
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,69,sebaliknya,"otherwise, on the contrary"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,70,sel,cell
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,71,siaga,standby
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,72,terbatas,is limited
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,73,terdapat,"to exist, be found"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,74,tetap,"remain, constantly; permanent"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,75,tingkat,level
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,76,tumbang,"collapsed, fall"
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,77,tumor,tumor
BI SLE Vocabulary,BI SLE Vocabulary - Set 5,78,umumnya,generally
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,1,alasan,"reason, excuse"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,2,ancaman,"threat, menace"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,3,antar-,"inter, between (linked form)"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,4,antisipasi,anticipation
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,5,apapun,"anything, whatever"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,6,bakti sosial,social service
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,7,banjir,flood
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,8,bepergian,"to travel, travelling"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,9,berbahaya,dangerous
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,10,beresiko,"to have risks, risky"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,11,berlatih,to practice
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,12,berlebihan,"exaggerated, excessive"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,13,bertambah,"to increase, to grow in number"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,14,berupa,in the form of
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,15,berusia,to have the age of
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,16,demografi,demography
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,17,diakui,"to be acknowledged, to be recognised"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,18,dianggap,"to be considered, to be regarded"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,19,dibanggakan,to be proud of
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,20,dikumpulkan,"to be collected, to be gathered"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,21,dilihat,"to be seen, to be looked at"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,22,dipandang,"to be viewed, to be looked at"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,23,disebabkan,to be caused
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,24,fakultas,faculty
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,25,impian,"dream, ideal"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,26,jasa,"service, merit"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,27,justru,"instead, in fact"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,28,kebanyakan,"the majority of, most"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,29,kebutuhan,"needs, necessities"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,30,kepadatan,density
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,31,kependudukan,demographics
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,32,kesadaran,"awareness, consciousness"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,33,konflik,conflict
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,34,langkah,"step, measure"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,35,lebih lanjut,"further, furthermore"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,36,lapangan,"field, court"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,37,lembaga,institution
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,38,maka,then (i.e.: if ... then ...)
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,39,melatih,"to train someone, to coach someone"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,40,memenuhi,"to fulfill, to meet requirements"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,41,mengalami,"to experience something, to go through"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,42,menghubungi,to contact someone
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,43,menghubungkan,"to connect, to relate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,44,menguntungkan,"to profit someone, to benefit someone; profitable, beneficial"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,45,menunjukkan,"to show, to indicate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,46,obat-obatan,various kinds of medicines/drugs
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,47,patut,worth to be
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,48,pelajar,"student, learner"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,49,pelayanan,"service, treatment, care"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,50,peluang,"opportunity, chance"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,51,penduduk,"population, resident, inhabitant"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,52,pengangguran,unemployment
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,53,perhitungan,calculation
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,54,pertambahan,"increase, growth"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,55,pertanian,agriculture
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,56,"dan sebagainya, dsb",etc.
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,57,segala,all kinds of
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,58,sempit,"narrow, tight fitting"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,59,sisi,side
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,60,statistik,statistics
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,61,suatu,"one, a certain"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,62,teliti,"thorough, meticulous"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,63,terlatih,is trained
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,64,"umur, usia",age
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,65,usia lanjut,old age
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,66,waspada,"alert, vigilant"
BI SLE Vocabulary,BI SLE Vocabulary - Set 6,67,wawasan,"insight, knowledge"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,1,aneka,various
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,2,"aplaus, tepuk tangan",applause
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,3,bazar,bazaar
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,4,berbahagia,"to rejoice, to be happy"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,5,bercengkerama,"to chat joyfully, to chat and joke"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,6,berjalan-jalan,"to leisurely walk, to stroll"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,7,dihadiri,to be attended
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,8,diikuti,to be followed
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,9,dingin,cold
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,10,dipelopori,to be pioneered
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,11,diplomasi,diplomacy
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,12,dirancang,to be designed
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,13,disediakan,to be provided
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,14,diserbu,"to be swarmed, to be attacked"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,15,disukai,to be liked
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,16,disumbangkan,to be donated
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,17,ditanamkan,to be implanted
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,18,ditentukan,to be determined
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,19,"dubes, duta besar",ambassador
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,20,gerai,booth
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,21,kaum,group (people who are of the same group)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,22,kebersihan,cleanliness
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,23,lalu lintas,traffic
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,24,macet,jammed (traffic)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,25,melaksanakan,"to carry out, to do, to conduct"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,26,melanggar,to violate
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,27,melengkapi,to complete something
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,28,meluangkan,to spare (i.e.: time)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,29,membangkitkan,"to awaken, to raise, to evoke"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,30,memotivasi,to motivate
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,31,memprihatinkan,"concerning, cause for concern"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,32,menambah,to add to; to increase; to supplement
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,33,menampilkan,"to display, to present, to put something that it may be seen"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,34,menarik,"interesting, attractive"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,35,mendaftar,"to sign up, to register"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,36,mendaftarkan,to register/enlist someone
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,37,menghabiskan,"to spend (i.e.: time, money)"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,38,menghargai,"to appreciate, to respect, to value"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,39,mengunjungi,to visit (as a transitive verb)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,40,menyadari,to realize something
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,41,menyajikan,to serve (i.e.: foods & drinks)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,42,menyampaikan,to convey
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,43,meriah,"merry, lively"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,44,mewajibkan,to make compulsory
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,45,motivasi,motivation
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,46,musim,season
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,47,nyaman,comfortable
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,48,nyata,real
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,49,partisipasi,participation
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,50,pendaftaran,registration
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,51,pengetahuan,knowledge
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,52,penjelasan,explanation
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,53,penonton,"audience, spectator"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,54,pentingnya,the importance of
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,55,peraturan,regulation
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,56,perlengkapan,equipment
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,57,persatuan,unity
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,58,pertandingan,"match, game, competition"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,59,pertunjukan,"show, performance"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,60,perwakilan,representative
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,61,pinggir,"edge, side"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,62,rajin,"hard-working, diligent"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,63,ribuan,thousands of
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,64,seharusnya,"should, ought to"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,65,sejumlah,"a number of, some"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,66,sendiri,"alone, self"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,67,sepak bola,soccer
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,68,solusi,solution (to a problem)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,69,sponsor,sponsor
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,70,swasta,private (i.e. not state-owned)
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,71,tarian,the dance
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,72,terdaftar,"is registered, is enrolled, is listed"
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,73,terlibat,is involved
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,74,terparkir,is parked
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,75,tersedia,is available
BI SLE Vocabulary,BI SLE Vocabulary - Set 7,76,wanita,woman
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,1,pasti,"definitely, surely"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,2,memastikan,"to ascertain, to ensure, to confirm"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,3,dipastikan,"to be ascertained, to be ensured, to be confirmed"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,4,pemastian,"the act/process of confirming, confirmation"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,5,kepastian,"confirmation, certainty (a fact that is definitely true or an event that is definitely going to take place)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,6,berpisah,"to separate, to split up, to part ways"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,7,memisah,"to keep oneself away (from), to isolate oneself"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,8,memisahkan,to separate or disunite two or more things
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,9,dipisahkan,to be separated
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,10,terpisah,is separated
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,11,terpisahkan,is separable
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,12,pemisah,separator
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,13,pemisahan,"the act/process of separating two or more things, separation of two or more things"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,14,perpisahan,"the act/process of parting ways, separation, farewell"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,15,guna,"for (as a conjunction); the use, the function, the benefit"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,16,berguna,useful
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,17,menggunakan,to use
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,18,digunakan,to be used
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,19,pengguna,user
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,20,penggunaan,"the act/process of using, the usage"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,21,"guna, kegunaan","the use, the function, the benefit"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,22,manfaat,the benefit
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,23,bermanfaat,beneficial
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,24,memanfaatkan,"to make use of, to utilize"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,25,dimanfaatkan,"to be utilized, to be made use of"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,26,pemanfaatan,"the act/process of utilizing, utilization"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,27,mencegah,to prevent (i.e.: to prevent something from happening)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,28,dicegah,to be prevented
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,29,tercegah,is prevented; preventable
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,30,pencegah,"deterrent, preventer"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,31,pencegahan,"the act/process of preventing, prevention"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,32,untung,profit
