section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,63,menandatangani,"to sign on, to put a signature on"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,64,menempati,to reside
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,65,mengadakan,to hold/conduct (an event)
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,66,mengakses,to access
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,67,mengantisipasi,to anticipate
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,68,mengembangkan,to develop something
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,69,menggunakan,to use something
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,70,mengirimkan,to send to someone
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,71,menjelaskan,to explain
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,72,menteri,minister
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,73,menyediakan,to provide
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,74,meroket,to skyrockete
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,75,mudah,easy
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,76,pelajaran,lesson
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,77,pemanfaatan,utilization
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,78,pembangunan,the construction of
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,79,pembelajaran,learning
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,80,pendapat,opinion
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,81,pendidikan,education
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,82,pendukung,supporter
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,83,penelitian,research
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,84,pengaruh,influence
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,85,pengguna,user
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,86,penggunaan,the act/process of using
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,87,penghargaan,"appreciation, award"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,88,penyedia,provider
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,89,peran,role
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,90,perguruan tinggi,tertiary institution
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,91,peringkat,"ranking, rank"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,92,pertumbuhan,growth
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,93,pihak,"party, side"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,94,pusat perbelanjaan,shopping center
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,95,rapat,a meeting (particularly an organised meeting of a committee or the like)
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,96,sarana,"means, tool, medium"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,97,"sekolah dasar, SD",elementary school
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,98,seluruh,entire
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,99,semakin,"more and more, increasingly"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,100,serat,fiber
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,101,sumber,source
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,102,terpisah,is separated
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,103,tertarik,interested
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,104,tertentu,certain
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,105,usia dini,early age
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,106,walaupun,"although, even though"
BI SLE Vocabulary,BI SLE Vocabulary - Set 1,107,wali kota,mayor
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,1,acara,"event, program; engagement, something to do"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,2,alam,nature
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,3,bantuan,"aid, assistance, help"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,4,bencana,"disaster, calamity"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,5,"berantas, memberantas",to eradicate
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,6,berencana,to have a plan
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,7,berharap,to hope
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,8,berkumpul,"to get together, to gather"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,9,bermacam-macam,many kinds of
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,10,bermanfaat,"useful, beneficial"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,11,berperan,to play a role
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,12,beruntung,"lucky, fortunate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,13,buatan,made in; artificial
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,14,bukti,"proof, evidence"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,15,buta,blind
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,16,"cegah, mencegah","to prevent, to avoid"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,17,daftar,list
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,18,didorong,to be pushed; to be encouraged
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,19,ditingkatkan,"to be improved, to be increased"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,20,ekonomi,economy
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,21,gambut,peatland
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,22,gemar,fond of
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,23,huruf,alphabet letter
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,24,ilegal,illegal
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,25,jadwal,schedule
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,26,kebakaran,a fire (the event of a fire)
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,27,kebiasaan,habit
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,28,kemampuan,"ability, capability"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,29,kemerdekaan,independence
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,30,kepribadian,personality
